project,period,fixed_cost_per_mw_yr,fixed_cost_per_energy_mwh_yr,fixed_cost_per_shaping_mw_yr,hyb_gen_fixed_cost_per_mw_yr,hyb_stor_fixed_cost_per_mw_yr,fixed_cost_per_stor_mwh_yr,fuel_production_capacity_fixed_cost_per_fuelunitperhour_yr,fuel_release_capacity_fixed_cost_per_fuelunitperhour_yr,fuel_storage_capacity_fixed_cost_per_fuelunit_yr
1__Batteries,2026,0,0,0,,,0.0,,,
2__Gas,2026,0,0,0,,,,,,
3__Hydro,2026,0,0,0,,,,,,
4__Solar,2026,0,0,0,,,,,,
5__Wind,2026,0,0,0,,,,,,
6__Wind,2026,0,0,0,,,,,,
7__Batteries,2026,0,0,0,,,0.0,,,
8__Gas,2026,0,0,0,,,,,,
9__Hydro,2026,0,0,0,,,,,,
10__Solar,2026,0,0,0,,,,,,
11__Wind,2026,0,0,0,,,,,,
12__Wind,2026,0,0,0,,,,,,
